,size,avg,pr,slope,interaction
386,500,22.0,0.0,0.012231143413130535,degree
387,500,22.0,0.0,0.011341417094751335,distance
388,500,22.0,0.1,0.10524145549773327,random
389,500,22.0,0.1,0.11222535211330183,ordered
390,500,22.0,0.1,0.11117472349645152,degree
391,500,22.0,0.1,0.279520462494833,distance
392,500,22.0,0.2,0.1839131161480104,random
393,500,22.0,0.2,0.19749378611006382,ordered
394,500,22.0,0.2,0.19302945098166086,degree
395,500,22.0,0.2,0.35982127543046283,distance
396,500,22.0,0.30000000000000004,0.27574609146311996,random
397,500,22.0,0.30000000000000004,0.2962666602629479,ordered
398,500,22.0,0.30000000000000004,0.2753960318644979,degree
399,500,22.0,0.30000000000000004,0.4169257408679489,distance
400,500,22.0,0.4,0.3638138390034406,random
401,500,22.0,0.4,0.38692503556366603,ordered
402,500,22.0,0.4,0.35621384183512206,degree
403,500,22.0,0.4,0.43170918387841767,distance
404,500,22.0,0.5,0.43577062513105436,random
405,500,22.0,0.5,0.4679665763114455,ordered
406,500,22.0,0.5,0.4301701546339152,degree
407,500,22.0,0.5,0.4491285691879477,distance
408,500,22.0,0.0,0.015101094301506534,random
409,500,22.0,0.0,0.01203495490388724,ordered
410,500,22.0,0.0,0.01042635532230735,degree
411,500,22.0,0.0,0.014642035526571196,distance
412,500,22.0,0.1,0.09756029068979871,random
413,500,22.0,0.1,0.10568229636203721,ordered
414,500,22.0,0.1,0.10552406017861453,degree
415,500,22.0,0.1,0.245360744315647,distance
416,500,22.0,0.2,0.19075983759313697,random
417,500,22.0,0.2,0.19230932044265886,ordered
418,500,22.0,0.2,0.18938040722689772,degree
419,500,22.0,0.2,0.3660626766187839,distance
420,500,22.0,0.30000000000000004,0.26307779294082306,random
421,500,22.0,0.30000000000000004,0.27885043276726484,ordered
422,500,22.0,0.30000000000000004,0.25916482002321234,degree
423,500,22.0,0.30000000000000004,0.40767175995507143,distance
424,500,22.0,0.4,0.35870879081829254,random
425,500,22.0,0.4,0.38828846788630444,ordered
426,500,22.0,0.4,0.358887182933006,degree
427,500,22.0,0.4,0.4487343067387809,distance
428,500,22.0,0.5,0.42603210599362223,random
429,500,22.0,0.5,0.45092204137282693,ordered
430,500,22.0,0.5,0.41980739864395555,degree
431,500,22.0,0.5,0.4533744370729648,distance
432,500,24.0,0.0,0.013986781380284957,random
433,500,24.0,0.0,0.012088000795436699,ordered
434,500,24.0,0.0,0.011751723655723332,degree
435,500,24.0,0.0,0.013240091395302684,distance
436,500,24.0,0.1,0.11034341528132396,random
437,500,24.0,0.1,0.11495675779548538,ordered
438,500,24.0,0.1,0.10962042733458026,degree
439,500,24.0,0.1,0.2823940307684817,distance
440,500,24.0,0.2,0.18669869253412547,random
441,500,24.0,0.2,0.2027351647888192,ordered
442,500,24.0,0.2,0.19230746913602317,degree
443,500,24.0,0.2,0.3846441964310331,distance
444,500,24.0,0.30000000000000004,0.2803703088420535,random
445,500,24.0,0.30000000000000004,0.3006036861682821,ordered
446,500,24.0,0.30000000000000004,0.28607767116683774,degree
447,500,24.0,0.30000000000000004,0.42059143056158976,distance
448,500,24.0,0.4,0.3692740054090521,random
449,500,24.0,0.4,0.3988107672606807,ordered
450,500,24.0,0.4,0.36270165648453656,degree
451,500,24.0,0.4,0.44915598195556755,distance
452,500,24.0,0.5,0.4229449822538015,random
453,500,24.0,0.5,0.461777919441759,ordered
454,500,24.0,0.5,0.42356171138474785,degree
455,500,24.0,0.5,0.46508474179404635,distance
456,500,24.0,0.0,0.013156807690285233,random
457,500,24.0,0.0,0.014961503101687774,ordered
458,500,24.0,0.0,0.01212654489572866,degree
459,500,24.0,0.0,0.014374416149832208,distance
460,500,24.0,0.1,0.10754192877612034,random
461,500,24.0,0.1,0.11254476088234626,ordered
462,500,24.0,0.1,0.10196196935988604,degree
463,500,24.0,0.1,0.2808054102399369,distance
464,500,24.0,0.2,0.1941865644277533,random
465,500,24.0,0.2,0.20415996630463878,ordered
466,500,24.0,0.2,0.19098097072368223,degree
467,500,24.0,0.2,0.37917529960034796,distance
468,500,24.0,0.30000000000000004,0.2694236264853138,random
469,500,24.0,0.30000000000000004,0.2771924456984952,ordered
470,500,24.0,0.30000000000000004,0.26786758441698894,degree
471,500,24.0,0.30000000000000004,0.42347944228946527,distance
472,500,24.0,0.4,0.3593491598151029,random
473,500,24.0,0.4,0.3862455494421246,ordered
474,500,24.0,0.4,0.35964348819836695,degree
475,500,24.0,0.4,0.4509717813564283,distance
476,500,24.0,0.5,0.43055356693901164,random
477,500,24.0,0.5,0.46818681373033766,ordered
478,500,24.0,0.5,0.42618589229928566,degree
479,500,24.0,0.5,0.45554345197505786,distance
480,500,26.0,0.0,0.0144399425780746,random
481,500,26.0,0.0,0.015071004914115851,ordered
482,500,26.0,0.0,0.012144355654889616,degree
483,500,26.0,0.0,0.014219971465675468,distance
484,500,26.0,0.1,0.11096651093110306,random
485,500,26.0,0.1,0.11857970633277906,ordered
486,500,26.0,0.1,0.1137432613620916,degree
487,500,26.0,0.1,0.30958013236011306,distance
488,500,26.0,0.2,0.1937170612216402,random
489,500,26.0,0.2,0.20340297818122427,ordered
490,500,26.0,0.2,0.19686094539293142,degree
491,500,26.0,0.2,0.3889301709635459,distance
492,500,26.0,0.30000000000000004,0.2917233892491092,random
493,500,26.0,0.30000000000000004,0.31270502128644284,ordered
494,500,26.0,0.30000000000000004,0.29289134855602805,degree
495,500,26.0,0.30000000000000004,0.4367134070291863,distance
